genre,gender,avg_rating
Action,,3.71
Adventure,,4.69
Animation,,3.69
Comedy,,3.61
Crime,,3.54
Documentary,,3.6
Drama,,3.68
Family,,3.72
Fantasy,,3.79
Film-Noir,,4.02
Horror,,3.94
Music,,3.44
Musical,,2.43
Mystery,,3.65
Romance,,3.68
Sci-Fi,,3.58
Short,,3.59
Thriller,,3.56
War,,3.6
Western,,3.52
